OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,Cul_count,Cul_mean,Cul_median,Cul_stdev,Cul_min,Cul_max,Cul_Range,BF_count,BF_mean,BF_median,BF_stdev,BF_min,BF_max,BF_Range,Mid_count,Mid_mean,Mid_median,Mid_stdev,Mid_min,Mid_max,Mid_Range,CulG_count,CulG_mean,CulG_median,CulG_stdev,CulG_min,CulG_max,CulG_Range,BFG_count,BFG_mean,BFG_median,BFG_stdev,BFG_min,BFG_max,BFG_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range,MidG_count,MidG_mean,MidG_median,MidG_stdev,MidG_min,MidG_max,MidG_Range,HSPG_count,HSPG_mean,HSPG_median,HSPG_stdev,HSPG_min,HSPG_max,HSPG_Range,Sat_count,Sat_mean,Sat_median,Sat_min,Sat_max,Sat_stdev,Sat_Range
2,7553886,Auto Depot,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2775,0.0830518,0.067204133,5.97674E-05,0.425930411,0.066390405,0.425870643
4,7554274,Island Finance,commercial,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1330,0.094787729,0.069931775,5.97674E-05,0.410897672,0.077754975,0.410837905
5,7564898,,residential,4,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
7,7575764,,yes,1,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,2582,0.088208795,0.088208795,0,0.088208795,0.088208795,0,,,,,,,0,,,,,,,0,,,,,,,0,2582,0,0,0,0,0,0,,,,,,,0,436,0.152330151,0.151539996,0.001403784,0.286548048,0.061562778,0.285144264
8,7580073,,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,546,0.141137328,0.131776139,0.000564009,0.331150562,0.060143227,0.330586552
9,7580074,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,212,0.137577379,0.142358452,0.008940513,0.283692032,0.063241971,0.274751519
10,7580075,,yes,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,634,0.072939513,0.048922665,0.000146493,0.373188257,0.068735996,0.373041764
11,7580076,,yes,2,partial,1,6220,0.107729994,0.107729994,0,0.107729994,0.107729994,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,6220,0.152577922,0.152577922,0,0.152577922,0.152577922,0,,,,,,,0,6220,0.055555556,0.055555556,0,0.055555556,0.055555556,0,1054,0.224970537,0.235476345,5.44198E-07,0.454578847,0.083321818,0.454578302
12,7583220,,yes,1,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,782,0.239831746,0.229497537,0.002216391,0.391986728,0.07454832,0.389770337
15,43230761,University of Sint Maarten,yes,6,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,5671,0.078749895,0.06408181,8.16729E-06,0.658820629,0.065653685,0.658812462
16,43392652,Government of Sint Maarten,yes,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,4152,0.102179538,0.085280798,8.16729E-06,0.62360692,0.088253719,0.623598753
18,158063352,,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,341,0.084357692,0.073713578,0.000462408,0.311314911,0.057782569,0.310852502
20,158063354,,yes,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,340,0.097432093,0.096971661,0.002250918,0.232968137,0.044549869,0.230717219
23,158063359,,yes,3,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,516,0.081156403,0.063014142,0.001247401,0.365114689,0.065311311,0.363867288
26,158063362,,yes,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,519,0.096928911,0.085945264,0.002712455,0.40331623,0.06360058,0.400603775
27,158063364,,yes,3,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,473,0.169362079,0.156368747,0.000220601,0.38774395,0.102160987,0.387523349
30,158063367,,yes,3,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,412,0.163030474,0.117403306,2.84319E-05,0.429365844,0.121305556,0.429337412
34,158063372,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,4740,0.079806572,0.056701913,7.35564E-05,0.548743725,0.079907738,0.548670168
35,158063373,,yes,3,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2879,0.339534129,0.373390853,0.000833127,0.683959365,0.176835258,0.683126238
38,158063376,Toyota,yes,1,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2930,0.059846974,0.051234819,0.000194785,0.442111224,0.046925722,0.441916439
39,158063377,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,3678,0.104385114,0.115586817,7.35564E-05,0.37390548,0.057115405,0.373831924
44,158063382,,yes,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,5331,0.167478347,0.123732731,0.000275912,0.623749137,0.135846367,0.623473225
49,158063392,,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,4324,0.104119832,0.096592844,0.000127525,0.439892143,0.057038663,0.439764618
50,158063393,People's Supermarket,yes,3,partial,1,,,,,,,0,21011,0.438165483,0.380643457,0.184278858,0.000166915,0.783728361,0.783561447,,,,,,,0,,,,,,,0,21011,0.137591549,0.105882354,0.129537538,2.79292E-05,0.905882359,0.905854429,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,3563,0.237233234,0.229232103,0.000409129,0.364795268,0.067628273,0.364386138
55,158063401,,yes,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,5280,0.175548265,0.098823942,0.00022452,0.661878049,0.164579369,0.661653529
62,158063408,John Larmonie Center,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,6289,0.072633237,0.06025669,4.43877E-05,0.450220108,0.063361383,0.45017572
70,158063424,,yes,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1804,0.10274884,0.096142761,7.35564E-05,0.351183712,0.068262546,0.351110156
102,167811710,Cost U Less,yes,3,partial,1,,,,,,,0,87894,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,87894,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,14910,0.217238112,0.236760691,0.000246494,0.404425323,0.066983879,0.404178829
113,167823852,American University of the Carribean,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
136,181440090,Cencus Office,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,4645,0.063210046,0.050352406,2.89084E-06,0.508158624,0.059626267,0.508155733
137,181440092,Government of Sint Maarten,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,18728,0.123264563,0.081802517,2.89084E-06,0.665926337,0.125568517,0.665923446
139,184238559,St. Maarten's Home,yes,6,none,0,43483,0.379497558,0.378540218,0.248190151,7.58914E-05,0.892270029,0.892194137,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,43483,0.449883988,0.482716203,0.253897116,0.000363256,0.847422063,0.847058807,,,,,,,0,43483,0.179410365,0.055555556,0.26022512,0,0.958333313,0.958333313,13681,0.049682728,0.030753758,0,0.484164894,0.059397757,0.484164894
140,184612367,St. Maarten Optical,yes,1,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,4342,0.10826189,0.10065598,4.43877E-05,0.55408901,0.071106488,0.554044622
141,184612373,Electricity Company,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,3675,0.067046286,0.053048667,6.5743E-07,0.666717887,0.080328625,0.666717229
142,184612374,FW Vlaun & Sons,yes,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,5123,0.101389707,0.072057068,5.12244E-05,0.557411671,0.10191908,0.557360446
145,207975556,Blue Mall,yes,5,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
146,232176025,,yes,2,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,794,0.185937764,0.195199236,7.82485E-05,0.407765299,0.118843478,0.407687051
168,246513598,,yes,3,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,8265,0.231266628,0.226905078,0.000217923,0.639961839,0.145117539,0.639743916
169,261368950,,yes,1,none,0,,,,,,,0,5264,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,5264,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,895,0.29735061,0.300885826,0.003675075,0.624051452,0.124527364,0.620376377
170,261368954,,yes,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,335,0.105870949,0.100494221,0.000297298,0.347165793,0.06175793,0.346868495
171,261368955,Beach Plaza Casino,yes,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2914,0.30185233,0.355021775,0.000338562,0.603235483,0.145796257,0.602896921
172,261368956,WIB,yes,1,none,0,,,,,,,0,9222,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,9222,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1564,0.154971229,0.141810372,0.000127525,0.557347596,0.102330653,0.55722007
173,261368957,Sunny Foods Supermarket,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,14206,0.07261008,0.041552115,6.5743E-07,0.593345165,0.096968006,0.593344508
174,261368958,JV Auto Parts,yes,1,none,0,,,,,,,0,212,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,212,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1005,0.098085115,0.089168072,5.97674E-05,0.330593705,0.065961954,0.330533938
175,261368959,Bistro Charo,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,628,0.172363813,0.154069215,0.002388682,0.426943481,0.11183455,0.424554799
176,261368962,,supermarket,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2616,0.091358941,0.086379632,0.00046162,0.381262749,0.055936983,0.38080113
177,261368963,GEBE,yes,3,none,0,,,,,,,0,6386,0.247468325,0.171630755,0.164504959,0.171630755,0.875498295,0.70386754,,,,,,,0,,,,,,,0,6386,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1084,0.087257515,0.035271924,0,0.53617996,0.121280961,0.53617996
178,261368964,Immigration and Border Protection Service Office,yes,6,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2241,0.054490604,0.039808456,0.000194785,0.325105011,0.051799577,0.324910226
179,261368965,,yes,3,none,0,,,,,,,0,9244,0.183113382,0.171630755,0.060182104,0.171630755,0.634430885,0.46280013,,,,,,,0,,,,,,,0,9244,0.002054137,0,0.035890873,0,0.817180872,0.817180872,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2136,0.065637844,0.056951877,0.000120882,0.411885589,0.053844434,0.411764707
180,261368966,5 Star Hardware,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2084,0.177073931,0.175829738,0.000143093,0.419454545,0.070427279,0.419311451
181,261368967,St. Maarten Superfoods,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2042,0.10829635,0.098864943,0.000127525,0.421778888,0.066887873,0.421651362
182,261368971,,yes,1,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,630,0.103658294,0.088619649,0.000127525,0.240342945,0.075808157,0.240215419
183,261368974,Fantasy,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1171,0.205224749,0.209361821,0.000100685,0.623027146,0.116704265,0.622926461
184,261368975,,apartments,1,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,3000,0.189337345,0.16323705,0.000194785,0.608037949,0.142589398,0.607843163
185,261368983,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,812,0.093848547,0.087271444,0.000127525,0.43871507,0.066412841,0.438587545
186,261368986,Chen's Supermarket,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,743,0.249825942,0.270460695,0.000592769,0.386501133,0.06525379,0.385908364
187,261368988,Sea Palace Resort Hotel,hotel,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1969,0.127530617,0.097452626,0.000226699,0.62681675,0.111062855,0.62659005
188,261368989,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,3191,0.097599444,0.05687708,6.5743E-07,0.716618001,0.112321382,0.716617344
189,261368990,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1295,0.239616539,0.255743802,0.00010268,0.616190016,0.086965642,0.616087336
190,261368991,St. Martin of Tours Roman Catholic Church,church,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1664,0.135116637,0.116420344,5.54555E-05,0.65399617,0.112783981,0.653940714
191,261368992,,house,4,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,530,0.203697949,0.221622109,5.57129E-05,0.459499985,0.124170765,0.459444272
192,261368994,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1281,0.116046715,0.105635859,8.93757E-05,0.44268775,0.089337085,0.442598374
193,261368995,Cash 4 Gold & Silver,yes,1,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,718,0.156065,0.134866223,0.003685703,0.473377436,0.096275812,0.469691734
194,261368998,,yes,5,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1922,0.250233866,0.246032223,0.000254425,0.564661264,0.202094066,0.564406839
195,261368999,,yes,2,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,482,0.1164388,0.056540012,0.000172289,0.441286653,0.127054213,0.441114364
196,261369000,Visser Pharmacy,yes,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,953,0.143560928,0.1410871,0.000337764,0.405971497,0.0787575,0.405633733
197,261373921,,commercial,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2441,0.141733319,0.11936646,0,0.62286669,0.133261799,0.62286669
198,261373928,,yes,5,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,480,0.106023708,0.085574403,0.000253348,0.469531268,0.090276682,0.46927792
199,261373934,Royal Bank of Canada,yes,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,4790,0.08653593,0.043658443,5.54555E-05,0.616441429,0.100067355,0.616385973
200,261373936,Philipsburg Methodist Church,church,1,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1136,0.077889817,0.044433691,0.000141896,0.505481482,0.086558174,0.505339585
201,261373942,Vineyard Office Park,commercial,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2211,0.241006075,0.159374818,8.0319E-06,0.771250129,0.205003924,0.771242097
202,261373945,Courthouse,yes,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1192,0.070654025,0.044059582,0.000200517,0.387308657,0.076452918,0.38710814
206,261373960,CMA CGM,yes,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,7891,0.085118398,0.085118398,0.085118398,0.085118398,0,0
207,261373970,,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1248,0.226714454,0.213394061,0.000142618,0.70872438,0.15642854,0.708581762
209,261373975,Vineyard Office Park,commercial,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,725,0.384860156,0.444448262,0.002930421,0.752467334,0.207390537,0.749536913
211,261373979,Milano Diamond Gallery,yes,1,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,987,0.106061223,0.077239819,0.000214072,0.514750004,0.094276577,0.514535932
213,261373984,,yes,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,657,0.085118398,0.085118398,0.085118398,0.085118398,0,0
214,261373990,,yes,3,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,6485,0.085118398,0.085118398,0.085118398,0.085118398,0,0
215,261373995,Vineyard Office Park,commercial,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2959,0.133183526,0.107138984,8.0319E-06,0.603567839,0.105916526,0.603559807
220,261374015,Holland House Beach Hotel,yes,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,3492,0.314718857,0.300812125,0.000164823,0.80094254,0.211505237,0.800777717
222,261374024,St. Maarten Port Services Complex,yes,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,5275,0.085118398,0.085118398,0.085118398,0.085118398,0,0
223,261374025,,residential,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,607,0.124991811,0.095219724,0.000641857,0.478248656,0.098085855,0.477606799
224,261374027,Oualichi,yes,2,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,884,0.144575226,0.128354788,0.001074225,0.470173955,0.096642435,0.46909973
231,261374055,Taloula Mango's Caribbean Cafe,yes,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,364,0.142347066,0.144217789,0.000865129,0.288276583,0.0709386,0.287411454
232,261374056,,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2307,0.085118398,0.085118398,0.085118398,0.085118398,0,0
233,261374066,,yes,2,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,263,0.083503419,0.067843132,0.00076156,0.28324607,0.06485116,0.28248451
235,261374078,,yes,6,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1484,0.161612918,0.139600009,0.000272214,0.550112128,0.117086114,0.549839914
237,261374082,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,4085,0.085118398,0.085118398,0.085118398,0.085118398,0,0
239,261374096,Cariloha,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1366,0.203825934,0.220300168,0.000353743,0.389463007,0.096899752,0.389109264
244,261374123,Gem Island,yes,4,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,76,0.073473494,0.071872041,0.001418969,0.252504349,0.056033872,0.25108538
282,261385165,,yes,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
283,261385166,Aventura Inn,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
284,261385167,,yes,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
285,261385174,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
286,261385177,,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
287,261385180,,yes,6,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
288,261385183,,yes,6,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
289,261385185,,yes,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
290,261385191,,yes,6,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
291,261385194,,yes,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
293,261385205,St. Maarten Montessori,yes,4,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
294,261385206,Caribbean International Academy,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
295,261385207,,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
