OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range
7742,521575812,,yes,3,destroyed,3,2403,0.270328209,0.231296659,0.198042629,0.000231111,0.702709138,0.702478027,2403,0.22538758,0.191145301,0.163727494,6.12E-06,0.677937567,0.677931443
6846,521556934,,yes,4,destroyed,3,1378,0.288924718,0.267133594,0.202296636,3.23E-05,0.811764717,0.811732416,1378,0.18840272,0.148495764,0.152108939,0.000196542,0.749446273,0.74924973
11754,525132286,,yes,3,destroyed,3,1250,0.20834959,0.148348123,0.206268733,8.13E-05,0.810469568,0.810388289,1250,0.224290288,0.203719825,0.144785555,0.000196542,0.711577952,0.711381409
12384,525363618,,yes,3,destroyed,3,585,0.294669217,0.287599146,0.208208199,0.000227509,0.850448489,0.850220981,585,0.207961145,0.16304338,0.16732015,0,0.807708859,0.807708859
9242,521632155,,yes,3,destroyed,3,4604,0.269568219,0.242142856,0.213684876,2.91E-05,0.870588243,0.870559126,4604,0.326608131,0.326206386,0.212946342,0.000117009,0.827450991,0.827333982
12461,525371184,,yes,1,destroyed,3,344,0.496503218,0.484994709,0.223591465,4.90E-05,0.839778066,0.839729042,344,0.319050741,0.311378241,0.225158284,0.002142535,0.734346807,0.732204272
9553,521786343,,yes,3,destroyed,3,4730,0.355990849,0.29894942,0.239120219,8.43E-06,0.854901969,0.854893541,4730,0.16358642,0.102044724,0.148478748,8.39E-05,0.752941191,0.752857252
11763,525132295,,yes,1,none,0,2229,0.108811715,0.107729994,0.02278049,0.107729994,0.611050546,0.503320552,2229,0.153471537,0.152577922,0.018883384,0.152577922,0.572912276,0.420334354
5477,521493119,,yes,3,none,0,8556,0.110757764,0.107729994,0.034114732,0.019099612,0.637368023,0.618268412,8556,0.154579502,0.152577922,0.027723966,0.004284825,0.592520118,0.588235293
4573,521466794,,yes,1,none,0,9056,0.112521688,0.107729994,0.042075713,0.001817412,0.820170224,0.818352811,9056,0.157352914,0.152577922,0.04265914,0.004284825,0.819971085,0.81568626
5888,521520581,,yes,3,none,0,301,0.114050629,0.107729994,0.048545525,0.107729994,0.52364254,0.415912546,301,0.157488694,0.152577922,0.038149458,0.152577922,0.482716203,0.330138281
12592,525406570,,yes,1,none,0,418,0.09243045,0.082807675,0.064306775,0.000805219,0.444823533,0.444018314,418,0.164592459,0.160509557,0.093579706,0.001197396,0.472066671,0.470869274
5886,521520579,,yes,3,none,0,493,0.124231421,0.107729994,0.067652939,0.012631323,0.456975877,0.444344554,493,0.165390578,0.152577922,0.050160324,0.152577922,0.412127972,0.25955005
7442,521568465,,yes,3,none,0,4816,0.122721534,0.107729994,0.077780057,0.107729994,0.841289639,0.733559646,4816,0.164261001,0.152577922,0.062741203,0.152577922,0.796441674,0.643863752
12605,525406583,,yes,2,none,0,615,0.150075054,0.130705982,0.078667934,0.003615609,0.460457742,0.456842133,615,0.205050428,0.164168015,0.150496555,0.001281222,0.641581714,0.640300493
12392,525363632,,yes,3,none,0,460,0.153795939,0.152904481,0.079168638,0.001686289,0.450956792,0.449270503,460,0.206338911,0.186235622,0.110273252,0.001040402,0.622504234,0.621463833
12035,525207977,,yes,3,none,0,816,0.123136638,0.107729994,0.079593527,0.013084998,0.637398839,0.624313841,816,0.168765086,0.152577922,0.075660711,0.152577922,0.608206391,0.45562847
7609,521571138,,yes,3,none,0,9594,0.124745412,0.107729994,0.083157658,0.003811417,0.684426844,0.680615427,9594,0.169018436,0.152577922,0.076232239,0.110167176,0.682716191,0.572549015
16609,525734054,,yes,1,none,0,301,0.412081431,0.434785873,0.085106943,0.001936609,0.506720364,0.504783755,301,0.238077377,0.242796198,0.145852417,0.001996525,0.692902625,0.690906099
12409,525363649,,yes,1,none,0,2098,0.136732485,0.129341334,0.086969747,0.000182777,0.471150637,0.47096786,2098,0.110602387,0.100257792,0.086243571,0.000216662,0.592554331,0.592337669
6428,521543972,,yes,3,none,0,3079,0.094036676,0.089998588,0.087200154,2.36E-05,0.501315892,0.5012923,3079,0.122769713,0.081775554,0.162929118,8.39E-05,0.843577325,0.843493386
1954,366951704,Robbie's Lottery,yes,1,none,0,1053,0.148553886,0.141819209,0.088294477,4.90E-05,0.458315313,0.458266289,1053,0.110251391,0.084015444,0.087559006,0.000248091,0.429353476,0.429105385
12410,525363650,,yes,3,none,0,1644,0.172726974,0.172640428,0.088907332,0.000101469,0.435692996,0.435591527,1644,0.134036997,0.099597968,0.103005947,0.000412976,0.727264225,0.726851249
12507,525405444,,yes,1,none,0,891,0.36075679,0.370349169,0.089883203,0.015162405,0.598363638,0.583201233,891,0.118044284,0.053681139,0.167951029,0.000560567,0.795447588,0.794887021
6875,521559391,,yes,4,none,0,291,0.259891705,0.278134614,0.0908892,0.000919632,0.426307231,0.425387599,291,0.226204832,0.158223376,0.163576496,0.000882594,0.646717787,0.645835193
