OBJECTID,osm_way_id,name,building,Material,_damage,OM_sum,OM_mean,OM_median,OM_stdev,OM_range,VS_sum,VS_mean,VS_median,VS_stdev,VS_range,Int_sum,Int_mean,Int_median,Int_stdev,Int_range,SS_sum,SS_mean,SS_median,SS_stdev,SS_range,HS_sum,HS_mean,HS_median,HS_stdev,HS_range,Geo_sum,Geo_mean,Geo_median,Geo_stdev,Geo_range
9285,521633786,,yes,3.00000000000,partial,185.662172185548116,0.215135773100288,0.176149964332581,0.155765430145224,0.731144130229950,27.187227897346020,0.191459351389761,0.199462920427322,0.074167928381437,0.449561268091202,0.018044208878885,0.097054712838526,0.089141450822353,0.012151076625647,0.018442228436470,17.152991879265755,0.120795717459618,0.131883800029755,0.047577112435460,0.200823083519936,8.122080511180684,0.057197750078737,0.039994578808546,0.050593329423070,0.168154761195183,236.431801067665219,0.273965007030898,0.282262802124023,0.171209420059539,0.798628032207489
9286,521633787,,yes,3.00000000000,partial,447.300304197211517,0.226710747185612,0.173593699932098,0.172023587678604,0.831372559070587,37.361398832115810,0.111526563677958,0.085427895188332,0.096149727456755,0.544563651084900,0.122403395616054,0.287337481975555,0.287337481975555,0.000000000000000,0.000000000000000,29.678159758601396,0.088591521667467,0.057907063513994,0.089204175013303,0.368194580078125,21.082725800340995,0.062933509851764,0.058730158954859,0.044875003962073,0.234072893857956,401.361796904966468,0.203427165182446,0.155038908123970,0.162288411455445,0.866666674613953
12415,525364948,,yes,2.00000000000,none,249.664889661828056,0.289298829272107,0.250559926033020,0.208583436010685,0.786924302577972,5.600438876310363,0.038098223648370,0.029153214767575,0.034476626780029,0.177831083536148,0.019492837797848,0.104744255542755,0.104744255542755,0.000000000000000,0.000000000000000,22.358000460546464,0.152095241228207,0.164353638887405,0.084083724850661,0.270622909069061,12.667916942387819,0.086176305730529,0.083905413746834,0.020933057723275,0.109124861657619,203.100086087593809,0.235341930576586,0.212647482752800,0.152975519719074,0.718444466590881
16905,526000554,,yes,0.00000000000,destroyed,142.400585341500118,0.322173270003394,0.339279979467392,0.167022980280648,0.750113368034363,3.819075268926099,0.051609125255758,0.049537718296051,0.032359358227604,0.127323910593987,0.049727558564931,0.521909748583500,0.526660799980164,0.027027856304562,0.053214013576508,2.873688053339720,0.038833622342429,0.035513740032911,0.024725969416678,0.091825880110264,1.684966265805997,0.022769814402784,0.017416508868337,0.014788177871151,0.053914457559586,127.060035237576813,0.287466143071441,0.267062246799469,0.197247331487831,0.838002920150757
16906,526000556,,yes,0.00000000000,none,413.390754969674163,0.451299950840256,0.461455345153809,0.219329847925653,0.763310670852661,15.296767565072514,0.096814984589067,0.080247901380062,0.074381191869919,0.322199404239655,0.031384103278228,0.159544944754849,0.326112508773804,0.249068658349354,0.370353579521179,8.261591520335060,0.052288553926171,0.044682636857033,0.038096861392936,0.155301392078400,29.691651848144829,0.187921847140157,0.187500000000000,0.112981349210003,0.690465927124023,200.185194485413376,0.218542788739534,0.145098045468330,0.223102392205942,0.940562069416046
16907,526000557,,yes,0.00000000000,significant,240.880651967745507,0.255711944764061,0.235207587480545,0.170722443547812,0.761068761348724,26.254083316656761,0.165120020859476,0.146276369690895,0.103388823610137,0.356575906276703,0.053826619183295,0.264780214799919,0.189141929149628,0.132855210792512,0.218443199992180,14.859660705667920,0.093456985570238,0.071547530591488,0.067652801691250,0.226478889584541,21.498722823103890,0.135212093227068,0.149744570255280,0.069936404866676,0.326394200325012,222.634383077736857,0.236342232566600,0.214715838432312,0.170924845287179,0.853627264499664
16908,526000559,,yes,0.00000000000,significant,578.395050380917382,0.198897885275419,0.136923626065254,0.174836635448978,0.746288239955902,49.434667147521395,0.100273158514242,0.074486151337624,0.080097722041411,0.357293128967285,0.177928736884781,0.283567255663999,0.285690277814865,0.055678008472931,0.141881048679352,40.944333412859123,0.083051386232980,0.068948462605476,0.061785926935787,0.235555022954941,14.341088898116141,0.029089429813623,0.025833332911134,0.018493774871964,0.098782896995544,515.492728993165656,0.177267100754184,0.159762680530548,0.119046450193184,0.699856162071228
16909,526000561,,yes,0.00000000000,none,157.136249138973653,0.341600541606464,0.386843949556351,0.193544267325170,0.643959164619446,10.159610152244568,0.130251412208264,0.132077500224113,0.033950404796622,0.163239955902100,0.026767135832921,0.268850238693853,0.228847175836563,0.160703327289139,0.311289668083191,5.332042638910934,0.068359521011679,0.073246575891972,0.042538771163961,0.139137357473373,1.376406863506418,0.017646241839826,0.015354938805103,0.015960156365601,0.090664714574814,101.457723898813128,0.220560269345246,0.173872753977776,0.144153422360235,0.622644603252411
16910,526000562,,yes,0.00000000000,destroyed,518.845504205091856,0.365899509312477,0.371232181787491,0.189662910105539,0.740834236145020,45.357779735699296,0.189781505170290,0.199128985404968,0.099266242458311,0.483742117881775,0.059121072519456,0.193060801573855,0.330547869205475,0.241106935657890,0.459681123495102,16.727102120756172,0.069987874982243,0.068893976509571,0.036382522172951,0.158422753214836,24.818593122065067,0.103843485866381,0.104166664183140,0.031603044399048,0.151486411690712,471.976546593708917,0.332846647809386,0.323617219924927,0.177836909393294,0.741105437278748
4959,521477985,,yes,3.00000000000,partial,580.014637562751886,0.255738376350420,0.217469990253448,0.193693286109124,0.823347568511963,36.413429279076809,0.095074227882707,0.067575231194496,0.085163378964552,0.388025075197220,0.032153304794410,0.065749797444277,0.134345993399620,0.121040111143552,0.199451953172684,11.193547731716535,0.029225973189860,0.022160487249494,0.028424659193138,0.191967636346817,57.115963742660824,0.149127842670133,0.137037038803101,0.119620469667560,0.572916686534882,362.922082273900742,0.160018554794489,0.125110626220703,0.144833986000881,0.823175609111786
